citation_key,source_type,review_status,objective,decision_variables,state_inputs,rate_impact,uncertainty,constraints,rebalance_trigger,cost_model,liquidity_model,dependency_model,execution,emergency_policy,published_parameters,code_available,data_available,reproducibility,limitations,primary_url
idle-best-yield,official-docs,not-peer-reviewed,"maximize allocation-weighted post-deposit supply APR","amount per integrated protocol","supply curves; current allocation; available liquidity",explicit,none-public,"integrated venues; total capital; optional idle share","material improvement and chain cadence",partial,"available liquidity; partial redemption; idle reserve",none-public,"off-chain bot submits; on-chain redeem/mint deltas","pause rebalancing while redemption remains",partial,partial,partial,medium-high,"solver; risk overlay; cost hurdle; cooldown; live bot config hidden",https://docs.idle.finance/products/best-yield/overview
baude2026leveraged,academic-preprint,preprint,"maximize multi-market leveraged staking return","market exposures and leverage","utilization-dependent rates; leverage limits; fees",explicit,limited,"market leverage limits; capital balance","tested at selected rebalance frequencies","transaction fees",limited,none,"research optimizer/backtest",none,explicit,not-found,partial,high,"leveraged scope; liquidation/oracle/liquidity production controls omitted",https://arxiv.org/abs/2601.14005
esfahani2018wasserstein,peer-reviewed-paper,peer-reviewed,"worst-case expected utility over Wasserstein ambiguity set","generic decision vector","empirical observations; ambiguity radius",generic,explicit,"generic feasible set",not-applicable,"generic convex costs supported by extensions",generic,none,"finite-dimensional reformulation",none,explicit,not-applicable,method-dependent,high,"not DeFi-specific; action-dependent rates and discontinuous liquidity require adaptation",https://doi.org/10.1007/s10107-017-1172-1
demiguel2014multiperiod,working-paper,working-paper,"multiperiod portfolio utility with general transaction costs","portfolio weights and trades","returns; covariance; current weights; costs",none,stochastic,"portfolio feasibility","trade outside multidimensional no-trade region","proportional and market-impact costs",none,none,"trade to region boundary through quadratic program",none,explicit,not-found,not-found,high,"traditional assets; fixed gas and safety exits require adaptation",https://doi.org/10.2139/ssrn.2295345
senapati2023oco,academic-preprint,preprint,"minimize online loss plus switching cost under delayed gradients","online action vector","revealed delayed gradients; movement cost",generic,online-adversarial,"convex feasible set","online update each round","explicit switching cost",none,none,"online convex update",none,explicit,not-found,not-found,high,"DeFi rate curves and changing eligibility may violate assumptions",https://arxiv.org/abs/2310.11880
zhao2021adaptivity,academic-preprint,preprint,"dynamic regret under environmental variation","online decisions","nonstationary feedback",generic,explicit,"generic decision domain","adaptive online updates","movement/path variation implicit",none,none,"online learner",none,explicit,not-found,not-found,high,"not a lending allocator; requires mapping to full-information markets",https://arxiv.org/abs/2112.14368
bastankhah2024agilerate,academic-preprint,preprint,"stabilize lending utilization with adaptive rate control","protocol interest rate","demand/supply estimates; utilization",explicit,adaptive-estimation,"controller stability and robustness bounds","continuous rate adjustment","not depositor movement",protocol-liquidity-utilization,none,"recursive least-squares controller",adversarial robustness analysis,explicit,not-found,partial,high,"sets protocol rates rather than allocating depositor capital",https://arxiv.org/abs/2410.13105
qu2025rules,academic-preprint,preprint,"optimize utilization capital stability and risk through offline RL","protocol interest-rate policy","historical Aave states and actions",implicit,offline-RL,"behavior-data support and learned policy","policy decision interval",not depositor movement,protocol-level,none,"offline RL controller",stress-event evaluation,partial,not-found,partial,medium-high,"rate governance problem; opacity and off-policy validity differ from vault allocation",https://arxiv.org/abs/2506.00505
yearn-v3-vault,official-code,not-peer-reviewed,"non-opinionated debt allocation enforcement","per-strategy debt","strategy debt; idle; reports; limits; losses",none,none,"max debt; min idle; max loss; roles; queues","external debt manager decides",on-chain loss bound,"minimum idle and withdrawal queue",none,"update_debt and reporting","irreversible shutdown; debt reduction",explicit,yes,on-chain,high-mechanism,"no canonical target-selection policy",https://github.com/yearn/yearn-vaults-v3/blob/master/contracts/VaultV3.vy
morpho-adaptive-irm,official-spec-code,not-peer-reviewed,"adapt borrow rate toward target utilization","stateful target rate","utilization path; elapsed time",explicit,path-dependent,immutable market IRM,"continuous state update on accrual",none,"market cash bounds exits","market-specific oracle/collateral",on-chain IRM","not allocator-specific",explicit,yes,on-chain,high-mechanism,"rate mechanism is not a portfolio optimizer",https://docs.morpho.org/get-started/resources/contracts/irm/
euler-earn,official-docs-code,not-peer-reviewed,"curator-defined risk-adjusted yield and liquidity management","strategy caps; queues; reallocations","APY; utilization; liquidity; roles; strategy state",qualitative,none-public,"caps; timelocks; roles; supply/withdraw queues","allocator discretion or automation","harvest threshold guidance","idle reserve; ordered queues","role and strategy isolation","allocator calls reallocate within caps","cap to zero; forced removal; treat trapped funds as lost",partial,yes,on-chain,high-mechanism-low-policy,"no canonical public scoring function or rebalance threshold",https://docs.euler.finance/developers/euler-earn/allocator-handbook
yield-seeker,official-docs,not-peer-reviewed,"maximize adjusted net yield","vault allocation weights","APY; incentives; risk; liquidity; slippage; costs",qualitative,qualitative,"user risk and admitted vaults","net gain exceeds movement cost",qualitative,"liquidity depth named",protocol risk named,"custodial/agent execution","not fully disclosed",low,no,limited,low,"weights; solver; horizons; thresholds; routes hidden",https://docs.yieldseeker.xyz/overview/core-features
zyfai,official-docs,not-peer-reviewed,"seek higher safe yield after break-even","pool/vault allocation","APY delta; stability; collateral; liquidity; curves; slippage",qualitative,qualitative,"curated tiers; Safe permissions","break-even and liquidity-health gates",qualitative,"instant and asynchronous tiers","protocol/collateral factors named","Safe or wrapper vault","withdrawal servicing and scoped destinations",low,no,limited,low-medium,"score; weights; solver; thresholds; allowlist hidden",https://blog.zyf.ai/why-the-agentic-economy-needs-the-agentic-treasury-management
mamo,official-docs,not-peer-reviewed,"route to meaningfully better live rates","narrow venue allocation","live rates; rewards; price checks",not-public,none-public,"curated Base venues","meaningful rate difference","reward threshold and swap protection","no-lock claim; capacity model hidden","narrow ecosystem","personal vault and CowSwap","delay unsafe reward conversion",partial,partial,on-chain,medium,"rebalance delta; averaging; capacity; allocation split hidden",https://docs.mamo.bot/behind-the-scenes/how-mamo-works
giza-arma,official-docs-code,not-peer-reviewed,"seek better yield distribution inside user limits","protocol allocation","protocol yields; user min/max/exclusions",not-public,none-public,"user protocol set and bounds","scheduled or manual run",not-public,"asynchronous deactivation lifecycle",protocol bounds,"smart-account agent","blocked failed and emergency states",partial,partial,partial,medium-lifecycle-low-policy,"objective; risk; costs; cadence; failed unwind hidden",https://docs.gizatech.xyz/sdk-reference/agent/lifecycle
surf-liquid,official-docs,not-peer-reviewed,"risk-adjusted forecast allocation","multi-venue weights and transitions","forecast curves; incentives; depth; slippage; stress",qualitative,qualitative,"allowlists; concentration; liquidity; invariants","approved transition after analysis",gas and slippage named,"exit depth and safe unwind named","concentration named","intelligence proposes; guardian enforces","circuit breakers",low,no,limited,medium-architecture-low-policy,"model; data; weights; thresholds; live code hidden",https://surf-2.gitbook.io/surfliquid-docs/infra-and-intelligence/surf-product-overview
almanak,official-docs-code,not-peer-reviewed,"developer-defined decide policy","strategy-specific intents","market snapshot and connector state",strategy-specific,strategy-specific,"Zodiac roles and strategy policy","strategy-specific","simulation and slippage tooling","connector-specific","permission graph","intent compiler and Safe","monitoring canary and emergency tools",framework,yes,strategy-dependent,high-if-open,"framework has no canonical optimizer",https://sdk.docs.almanak.co/
