query_id,date,database,query,filters,result_count,notes
Q001,2026-08-01,IEEE Xplore,"DeFi lending portfolio allocation rebalancing optimization","primary research; all years",not-recorded,"No directly comparable depositor allocator identified in initial web-indexed sweep"
Q002,2026-08-01,ACM Digital Library,"decentralized finance lending allocation optimization transaction costs","primary research; all years",not-recorded,"No directly comparable depositor allocator identified in initial web-indexed sweep"
Q003,2026-08-01,arXiv,"DeFi lending allocation robust optimization utilization rebalancing","title/abstract/full text",4,"Leveraged allocation and adaptive interest-rate control retained for screening"
Q004,2026-08-01,SSRN,"DeFi lending portfolio rebalancing no trade region","title/abstract/full text",6,"Classical transaction-cost and no-trade-region papers retained; unrelated banking/CLMM results excluded"
Q005,2026-08-01,Official protocol sources,"Idle Best Yield allocation objective rebalance","official docs and developer docs",4,"Capacity-aware objective and on-chain rebalance mechanics"
Q006,2026-08-01,Official protocol sources,"Yearn V3 update_debt minimum idle max loss withdrawal queue","official repository",1,"Mechanism and enforcement source"
Q007,2026-08-01,Official protocol sources,"Morpho Blue AdaptiveCurveIRM MetaMorpho Public Allocator","official docs and repositories",4,"Exact IRM and allocation rails; no canonical depositor optimizer"
Q008,2026-08-01,Official protocol sources,"Aave V3 Base USDC rate model address book governance","official code address book governance",4,"Rate mechanics and mutable Base parameters"
Q009,2026-08-01,Official protocol sources,"Compound III Base USDC supply rate Comet","official docs repository deployments",3,"Direct supply curve and deployment source"
Q010,2026-08-01,Official protocol sources,"Moonwell Base USDC interest rate curve contracts","official docs and repository",3,"Kink curve and incentive separation"
Q011,2026-08-01,Official protocol sources,"Euler Earn allocator rebalancing caps queues liquidity","official developer documentation",3,"Strong safety and liquidity mechanics; curator policy remains external"
